congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
72,President,99898,99,0,USA,200,,,"HOOVER, Herbert Clark",,,,,,,,,,,,
72,Senate,404,41,0,AL,100,0,1,"BANKHEAD, John Hollis II",B000111,1872.0,1946.0,-0.284,0.313,-89.33902,0.657,213,46,,-0.398,0.116
72,Senate,743,41,0,AL,100,0,1,"BLACK, Hugo Lafayette",B000499,1886.0,1971.0,-0.46,0.468,-53.11758,0.738,175,24,,-0.437,0.424
72,Senate,273,61,0,AZ,100,0,1,"ASHURST, Henry Fountain",A000319,1874.0,1962.0,-0.231,0.211,-107.88172,0.608,217,63,,-0.158,0.097
72,Senate,4227,61,0,AZ,100,0,1,"HAYDEN, Carl Trumbull",H000385,1877.0,1972.0,-0.221,0.334,-120.5705,0.591,229,76,,-0.097,0.093
72,Senate,1497,42,0,AR,100,2,5,"CARAWAY, Hattie Wyatt",C000138,1878.0,1950.0,-0.179,0.691,-80.93032,0.643,183,41,,-0.148,0.52
72,Senate,1498,42,0,AR,100,1,1,"CARAWAY, Thaddeus Horatius",C000139,1871.0,1931.0,-0.425,0.055,,,,,,0.019,1.0
72,Senate,7986,42,0,AR,100,0,1,"ROBINSON, Joseph Taylor",R000347,1872.0,1937.0,-0.425,-0.275,-69.23492,0.736,226,24,,-0.346,-0.208
72,Senate,4962,71,0,CA,200,0,1,"JOHNSON, Hiram Warren",J000140,1866.0,1945.0,0.294,0.714,-120.07307,0.578,219,68,,0.391,0.746
72,Senate,8487,71,0,CA,200,0,1,"SHORTRIDGE, Samuel Morgan",S000380,1861.0,1952.0,0.57,0.14,-57.33154,0.687,153,32,,0.53,0.196
72,Senate,2083,62,0,CO,100,0,1,"COSTIGAN, Edward Prentiss",C000797,1874.0,1939.0,-0.031,0.961,-70.83249,0.73,225,37,,-0.001,0.994
72,Senate,8280,62,0,CO,200,3,2,"SCHUYLER, Karl Cortlandt",S000152,1877.0,1933.0,0.599,0.465,-20.36994,0.704,58,11,,0.569,0.46
72,Senate,9755,62,0,CO,100,2,1,"WALKER, Walter",W000069,1883.0,1956.0,,,,,,,,,
72,Senate,9862,62,0,CO,200,1,1,"WATERMAN, Charles Winfield",W000186,1861.0,1932.0,1.0,0.015,-9.06088,0.814,44,3,,0.712,-0.702
72,Senate,716,1,0,CT,200,0,1,"BINGHAM, Hiram",B000470,1875.0,1956.0,0.313,-0.95,-57.18072,0.777,227,26,,0.245,-0.97
72,Senate,9724,1,0,CT,200,0,1,"WALCOTT, Frederic Collin",W000032,1869.0,1949.0,0.415,-0.769,-40.7368,0.82,205,15,,0.388,-0.794
72,Senate,4177,11,0,DE,200,0,1,"HASTINGS, Daniel Oren",H000325,1874.0,1966.0,0.594,-0.494,-41.50863,0.809,196,19,,0.603,-0.44
72,Senate,9439,11,0,DE,200,0,1,"TOWNSEND, John Gillis, Jr.",T000335,1871.0,1964.0,0.491,-0.311,-38.10252,0.794,165,16,,0.506,-0.233
72,Senate,3216,43,0,FL,100,0,1,"FLETCHER, Duncan Upshaw",F000200,1859.0,1936.0,-0.365,-0.37,-94.23847,0.646,216,42,,-0.33,-0.14
72,Senate,9456,43,0,FL,100,0,1,"TRAMMELL, Park",T000353,1876.0,1936.0,-0.278,0.114,-112.48306,0.622,237,58,,-0.206,0.34
72,Senate,1912,44,0,GA,100,2,5,"COHEN, John Sanford",C000597,1870.0,1935.0,-0.314,0.157,-50.58281,0.667,125,22,,-0.313,0.179
72,Senate,3536,44,0,GA,100,0,1,"GEORGE, Walter Franklin",G000131,1878.0,1957.0,-0.064,0.363,-101.2751,0.645,231,55,,-0.274,0.316
72,Senate,4120,44,0,GA,100,1,1,"HARRIS, William Julius",H000259,1868.0,1932.0,-0.434,0.046,-13.46399,0.657,32,6,,-0.032,0.541
72,Senate,8138,44,0,GA,100,3,2,"RUSSELL, Richard Brevard, Jr.",R000536,1897.0,1971.0,0.005,1.0,-30.85765,0.519,47,15,,0.04,0.6
72,Senate,858,63,0,ID,200,0,1,"BORAH, William Edgar",B000634,1865.0,1940.0,0.191,0.704,-102.66238,0.591,195,59,,0.055,0.61
72,Senate,9298,63,0,ID,200,0,2,"THOMAS, John",T000172,1874.0,1945.0,0.429,0.41,-80.6677,0.679,208,39,,0.37,0.36
72,Senate,3630,21,0,IL,200,0,2,"GLENN, Otis Ferguson",G000238,1879.0,1959.0,0.279,-0.11,-47.32497,0.67,118,30,,0.219,-0.246
72,Senate,5641,21,0,IL,100,0,1,"LEWIS, James Hamilton",L000284,1863.0,1939.0,-0.379,-0.141,-53.49154,0.64,120,32,,-0.581,-0.516
72,Senate,7972,22,0,IN,200,0,1,"ROBINSON, Arthur Raymond",R000332,1881.0,1961.0,0.419,0.472,-74.15354,0.694,203,33,,0.436,0.613
72,Senate,9875,22,0,IN,200,0,1,"WATSON, James Eli",W000203,1864.0,1948.0,0.55,-0.044,-48.09957,0.81,228,15,,0.555,-0.155
72,Senate,1070,31,0,IA,200,0,1,"BROOKHART, Smith Wildman",B000873,1869.0,1944.0,0.131,0.991,-64.82054,0.731,207,25,,-0.764,0.645
72,Senate,2575,31,0,IA,200,0,1,"DICKINSON, Lester Jesse",D000323,1873.0,1968.0,0.485,0.351,-90.936,0.658,217,43,,0.493,0.169
72,Senate,1494,32,0,KS,200,0,1,"CAPPER, Arthur",C000133,1865.0,1951.0,0.262,0.55,-113.62215,0.634,249,52,,0.286,0.62
72,Senate,6251,32,0,KS,100,0,2,"McGILL, George",M000447,1879.0,1963.0,-0.072,0.756,-90.41067,0.692,246,43,,-0.086,0.75
72,Senate,437,51,0,KY,100,0,1,"BARKLEY, Alben William",B000145,1877.0,1956.0,-0.375,0.087,-76.79672,0.679,198,41,,-0.292,-0.051
72,Senate,5747,51,0,KY,100,0,1,"LOGAN, Marvel Mills",L000404,1874.0,1939.0,-0.392,0.082,-93.73479,0.604,186,51,,-0.442,0.065
72,Senate,1091,45,0,LA,100,0,1,"BROUSSARD, Edwin Sidney",B000895,1874.0,1934.0,-0.034,-0.413,-86.79092,0.585,162,49,,0.077,0.008
72,Senate,5758,45,0,LA,100,0,1,"LONG, Huey Pierce",L000418,1893.0,1935.0,0.251,0.862,-56.14846,0.561,97,28,,0.145,0.65
72,Senate,3919,2,0,ME,200,0,1,"HALE, Frederick",H000031,1874.0,1963.0,0.403,-0.41,-69.44277,0.757,249,34,,0.348,-0.49
72,Senate,10047,2,0,ME,200,0,1,"WHITE, Wallace Humphrey, Jr.",W000396,1877.0,1952.0,0.323,-0.313,-60.03811,0.767,226,27,,0.434,-0.093
72,Senate,3653,52,0,MD,200,0,1,"GOLDSBOROUGH, Phillips Lee",G000262,1865.0,1946.0,0.472,-0.49,-45.878,0.81,218,23,,0.466,-0.387
72,Senate,9538,52,0,MD,100,0,1,"TYDINGS, Millard Evelyn",T000446,1890.0,1961.0,-0.111,-0.154,-106.87099,0.615,220,61,,-0.46,-0.712
72,Senate,2035,3,0,MA,100,0,1,"COOLIDGE, Marcus Allen",C000740,1865.0,1947.0,-0.355,-0.556,-83.32603,0.672,210,43,,-0.293,-0.36
72,Senate,9782,3,0,MA,100,0,1,"WALSH, David Ignatius",W000097,1872.0,1947.0,-0.11,0.108,-96.41391,0.63,209,53,,-0.227,-0.213
72,Senate,2095,23,0,MI,200,0,1,"COUZENS, James",C000812,1872.0,1936.0,0.157,0.354,-111.16555,0.619,232,53,,0.167,0.306
72,Senate,9604,23,0,MI,200,0,1,"VANDENBERG, Arthur Hendrick",V000025,1884.0,1951.0,0.207,-0.172,-95.25566,0.677,244,41,,0.23,-0.068
72,Senate,8254,33,0,MN,200,0,1,"SCHALL, Thomas David",S000113,1878.0,1935.0,0.321,0.595,-87.28665,0.641,196,45,,0.474,0.803
72,Senate,8476,33,0,MN,537,0,1,"SHIPSTEAD, Henrik",S000369,1881.0,1960.0,0.21,0.978,-75.16255,0.688,201,42,,0.151,0.989
72,Senate,4126,46,0,MS,100,0,1,"HARRISON, Byron Patton (Pat)",H000265,1881.0,1941.0,-0.483,-0.187,-67.88326,0.715,202,31,,-0.394,-0.355
